angle_id,product_id,motivation_id,angle_name,angle_family,primary_bucket,secondary_bucket,buyer_stage,persona_fit,boldness_level,usage_context,sales_mechanism,commercial_trigger,visual_scene,copy_formula_fit,hook_style,hook_direction,subhook_direction,usp_direction,cta_direction,content_format_fit,platform_surface_fit,bundle_potential,repeat_purchase_potential,why_it_can_sell,creative_notes,source_motivation_hook,source_batch,angle_status
MWTCB_ANG_031,MWTCB_25ML,MWTCB_25ML__xlsx__BM016,Responsibility Si Suami,persona_specific,FAMILY_HOME,PRACTICAL_STORAGE,cold_scroll,universal_household,BOLD,rumah,household_readiness,Tanggungjawab suami menyediakan ubat standby untuk isteri dan anak-anak.,Suami tersenyum menyerahkan botol Cap Burung kepada isteri yang kelihatan penat menguruskan rumah.,PPPP,hero senyap,"Bila rumah kecoh cari minyak, jangan jadi suami yang cuma tahu tanya 'mana letak?'",Jadi hero rumah yang sediakan barang standby sebelum diminta.,Petua Turun Temurun 1958 untuk urat tegang.,Beli untuk isteri tercinta sekarang.,hybrid_video,poster_ads,MEDIUM,HIGH,Menyasar golongan lelaki berkeluarga agar menjadi pelindung rumah yang bersedia.,Husband duty trigger.,Botol kecil ni jenis hero senyap dalam rumah.,2026-06-19_part2_angle_bank,draft
MWTCB_ANG_032,MWTCB_25ML,MWTCB_25ML__xlsx__BM017,Bukan Hadiah Hiasan,gift_for_parents,FAMILY_HOME,PERSONA_SPECIFIC,warm_interest,family_home_buyer,MODERATE,rumah,family_responsibility,Hadiah praktikal untuk orang tua yang lebih bernilai daripada barangan hiasan.,"Anak menyerahkan beg kertas ringkas berisi 3 botol Cap Burung kepada ibunya di kampung, ibunya tersenyum gembira memegangnya.",Hook/Family/Product/CTA,rutin keluarga,Nak belikan mak ayah sesuatu? Jangan asyik beli benda hiasan habuk.,Bagi mereka minyak warisan yang mereka memang guna dan kenal.,Formula Asli Sejak 1958 tradisi tulen.,Hantar set kasih sayang untuk mak ayah sekarang.,hybrid_video,poster_ads,HIGH,HIGH,Mengubah persepsi hadiah balik kampung kepada barangan keperluan kesihatan.,Gifting utility trigger.,Dalam rumah mesti ada satu barang yang semua orang cari bila tak selesa.,2026-06-19_part2_angle_bank,draft
MWTCB_ANG_033,MWTCB_25ML,MWTCB_25ML__xlsx__BM017,Berbakti Dari Jauh,gift_for_parents,FAMILY_HOME,PERSONA_SPECIFIC,warm_interest,family_home_buyer,SOFT,rumah,family_responsibility,Menghantar minyak angin terus ke kampung sebagai tanda ingatan anak yang sibuk bekerja di bandar.,"Ibu bapa tua menerima bungkusan pos di kampung, membukanya dan mendapati botol minyak Cap Burung, kelihatan tersentuh.",Hook/Family/Product/CTA,rutin keluarga,"Walau sibuk cari duit di bandar, jangan lupa sendi mak ayah kat kampung mula haus.",Poskan set minyak Cap Burung terus ke pintu rumah mereka.,Petua warisan lama yang melegakan kebas urat.,Poskan kasih sayang hari ini.,hybrid_video,poster_ads,HIGH,HIGH,Menyentuh perasaan anak-anak perantau tentang kesihatan mak ayah.,Long distance care trigger.,Dalam rumah mesti ada satu barang yang semua orang cari bila tak selesa.,2026-06-19_part2_angle_bank,draft
MWTCB_ANG_034,MWTCB_25ML,MWTCB_25ML__xlsx__BM022,Mak Tak Ada Masa Nak Panik,family_home,FAMILY_HOME,NOSTALGIA_TRUST,gift_buyer,anak_beli_untuk_parent,BOLD,balik_kampung,gift_utility,Mak-mak yang super sibuk memerlukan penyelesaian pantas untuk anak/suami.,"Ibu memegang botol Cap Burung dengan sebelah tangan sambil sebelah lagi mengacau sup di dapur, tenang menguruskan rumah.",QUEST,hadiah mak ayah,"Mak-mak tahu, benda kecil boleh jadi drama besar kalau tak bersedia.",Sebab tu mak-mak bijak sentiasa standby minyak cap merah ni.,Formula herba pekat asli yang dipercayai sejak 1958.,Beli set mak-mak bijak sekarang.,hybrid_video,poster_ads,HIGH,MEDIUM,Menyanjung peranan ibu yang cekap dan sentiasa bersedia.,Busy mother trigger.,Nak belikan mak ayah sesuatu? Jangan asyik beli benda hiasan.,2026-06-19_part2_angle_bank,draft
MWTCB_ANG_035,MWTCB_25ML,MWTCB_25ML__xlsx__BM022,Drama Anak Lebam Dahi,family_home,FAMILY_HOME,NOSTALGIA_TRUST,gift_buyer,anak_beli_untuk_parent,MODERATE,balik_kampung,gift_utility,Kecederaan ringan anak akibat terjatuh atau terhantuk ketika bermain.,"Anak kecil berlari di ruang tamu, terhantuk meja lalu menangis ringan; ibu segera menyapu minyak Cap Burung pada dahi anak.",QUEST,hadiah mak ayah,"Anak jenis buas main sampai dahi lebam, mak jangan panik melompat.",Sapu lembut herba asli minyak cap burung untuk redakan bengkak.,Formula selamat turun-temurun untuk seisi keluarga.,Standby botol kecil ini untuk anak main lasak.,hybrid_video,poster_ads,HIGH,MEDIUM,Menyelesaikan isu kecederaan ringan kanak-kanak di rumah dengan kaedah tradisional.,Childhood play injuries trigger.,Nak belikan mak ayah sesuatu? Jangan asyik beli benda hiasan.,2026-06-19_part2_angle_bank,draft
MWTCB_ANG_036,MWTCB_25ML,MWTCB_25ML__xlsx__BM042,Rak Penuh Barang Gimmick,family_home,FAMILY_HOME,NOSTALGIA_TRUST,gift_buyer,anak_beli_untuk_parent,BOLD,balik_kampung,gift_utility,Mengkritik rak ubat yang penuh dengan produk moden tiruan tetapi tiada produk herba asli.,"Kamera menyorot rak ubat rumah penuh botol plastik warna-warni yang berhabuk, celahannya diselit botol kaca hijau retro Cap Burung.",QUEST,orang tua familiar,"Rak ubat rumah nampak penuh, tapi minyak standby herba asli tiada?","Itu bukan lengkap, itu cuma nampak penuh dengan produk OEM.",Standby ubat tradisi asli 1958 yang betul-betul melegakan.,Lengkapkan rak ubat anda hari ini.,hybrid_video,poster_ads,HIGH,MEDIUM,Menekankan kualiti vs kuantiti barangan rak ubat rumah.,Cabinet audit trigger.,"Beli untuk orang tua, jangan pilih benda yang nampak pelik sangat.",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_037,MWTCB_25ML,MWTCB_25ML__xlsx__BM042,Stok Awal Musim Kenduri,seasonal_context,FAMILY_HOME,NOSTALGIA_TRUST,gift_buyer,anak_beli_untuk_parent,MODERATE,balik_kampung,gift_utility,Persediaan rumah menerima kunjungan saudara-mara ketika musim perayaan/kenduri.,Ibu menyusun beberapa botol Cap Burung di rak ruang tamu ketika rumah sedang dihias untuk kenduri.,QUEST,orang tua familiar,"Bila rumah ramai tetamu datang, minyak angin lah barang pertama orang tanya.",Sediakan minyak Cap Burung di tempat mudah dilihat tetamu.,"Bau herba menyegarkan, bukan bau chemical ubat moden.",Sauk promo kenduri sebelum tetamu sampai.,hybrid_video,poster_ads,HIGH,MEDIUM,Menyasar tuan rumah yang mahu tetamu mereka selesa jika mengalami kembung perut.,Festive host prep trigger.,"Beli untuk orang tua, jangan pilih benda yang nampak pelik sangat.",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_038,MWTCB_25ML,MWTCB_25ML__zip_csv__BM003,Mak Ayah Tolak Produk OEM,family_home,FAMILY_HOME,VISUAL_RECOGNITION,gift_buyer,anak_beli_untuk_parent,BOLD,balik_kampung,family_responsibility,Warga emas skeptikal terhadap ubat sapu moden wangi yang tiada khasiat herba.,"Ayah tua memegang tiub ubat sapu moden berbau kimia, menggeleng kepala, lalu tersenyum bila anak memberikan botol Cap Burung lama.",BAB,Family situation,"Orang tua kalau dah sakit urat, dia tak pandang minyak viral semalam.",Bagi mereka formula asli sejak 1958 yang terbukti berkesan.,Botol kaca hijau retro dengan cap merah tradisi.,Beli set orang lama untuk mak ayah.,hybrid_video,poster_ads,MEDIUM,HIGH,Menggunakan skeptisisme orang tua sebagai bukti kualiti warisan.,Anti-OEM old-school preference.,"""Mak kat kampung tu kalau solat makin lama makin payah nak bangun. Jangan biarkan.""",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_039,MWTCB_25ML,MWTCB_25ML__zip_csv__BM003,Hadiah Surau Ayah,gift_for_parents,FAMILY_HOME,VISUAL_RECOGNITION,gift_buyer,anak_beli_untuk_parent,SOFT,balik_kampung,family_responsibility,Ayah membawa minyak angin ke surau untuk kegunaan bersama rakan-rakan warga emas.,Ayah tua mengeluarkan botol Cap Burung dari poket jubah putihnya di perkarangan masjid kampung.,BAB,Family situation,Ayah nak pergi surau tapi lutut bunyi ketat? Selit sebotol minyak Cap Burung.,Senang sapu sendi lenguh semasa mendengar kuliah agama.,Bau herba aromatik warisan asli yang disukai jemaah.,Beli satu untuk tok pergi surau.,hybrid_video,poster_ads,MEDIUM,HIGH,Menghubungkan aktiviti keagamaan/sosial warga emas dengan produk.,Mosque pocket storage.,"""Mak kat kampung tu kalau solat makin lama makin payah nak bangun. Jangan biarkan.""",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_040,MWTCB_25ML,MWTCB_25ML__zip_csv__BM014,Siksa Lutut Tangga Surau,family_home,FAMILY_HOME,SEASONAL_CONTEXT,gift_buyer,anak_beli_untuk_parent,AGGRESSIVE,balik_kampung,family_responsibility,Kesulitan fizikal warga emas menaiki tangga atau solat akibat sakit lutut/sendi ketat.,"Ibu tua memegang pemegang tangga surau kayu dengan erat, mukanya berkerut menahan sakit lutut ketika cuba melangkah naik.",Hook/Multi-location,Balik kampung,Mak kat kampung tu kalau solat makin lama makin payah nak bangun. Jangan biarkan.,Minyak Cap Burung formula asli urut membantu melonggarkan urat sendi lutut.,Petua Turun Temurun 1958 yang dipercayai generasi lama.,Hantar set lutut selesa terus ke kampung.,hybrid_video,poster_ads,MEDIUM,HIGH,Menyerang emosi anak secara agresif agar segera membantu kesakitan orang tua.,Emotional elder care warning.,"""Balik kampung minggu depan jangan balik tangan kosong. Mak ayah tak nak benda mahal.""",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_041,MWTCB_25ML,MWTCB_25ML__zip_csv__BM014,Suri Rumah Tangan Kebas,family_home,FAMILY_HOME,SEASONAL_CONTEXT,gift_buyer,anak_beli_untuk_parent,MODERATE,balik_kampung,family_responsibility,Suri rumah mengalami tangan kebas selepas mencuci kain atau mengemas stor.,"Tangan suri rumah memegang mop terlepas seketika, mengurut-urut tapak tangannya yang terasa semut-semut kebas.",Hook/Multi-location,Balik kampung,"Suri rumah kalau dah start mengemas stor, malam confirm mengaduh sakit pinggang.",Urut dengan minyak hijau pekat Cap Burung sebelum tidur.,Meresap dalam urat untuk melegakan semut-semut.,Sediakan satu botol tepi ampaian baju.,hybrid_video,poster_ads,MEDIUM,HIGH,Menghargai penat lelah kerja rumah suri rumah.,Housewife physical wear trigger.,"""Balik kampung minggu depan jangan balik tangan kosong. Mak ayah tak nak benda mahal.""",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_042,MWTCB_25ML,MWTCB_25ML__zip_csv__BM018,Bunyi Lutut Ketat Mak Ayah,family_home,FAMILY_HOME,VISUAL_RECOGNITION,gift_buyer,mak_mak,AGGRESSIVE,rumah,family_responsibility,Bunyi 'krak' sendi lutut warga emas ketika bangun dari duduk yang merisaukan anak.,"Close-up kaki mak melangkah dari kerusi, terdengar kesan bunyi sendi lutut ketat; mak memicit lututnya.",AIDA,Family situation,Siksa tengok mak ayah nak naik tangga surau sebab lutut bunyi ketat?,Minyak hijau herba pekat Cap Burung melonggarkan urat sendi lutut.,Formula warisan tradisi asli sejak 1958.,Hantar Set Lutut Warisan sekarang.,hybrid_video,poster_ads,LOW,MEDIUM,Menunjukkan bukti fizikal penuaan sendi orang tua.,Joint friction audio-visual trigger.,"""Ayah kau kalau dah start berkebun, petang confirm mengadu tangan kebas.""",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_043,MWTCB_25ML,MWTCB_25ML__zip_csv__BM018,Minyak Tepi Sejadah,family_home,FAMILY_HOME,VISUAL_RECOGNITION,gift_buyer,mak_mak,SOFT,rumah,family_responsibility,Meletakkan minyak angin di tepi sejadah rumah untuk kegunaan solat harian.,Close-up tangan warga emas mencapai botol cap merah dari tepi sejadah hijau selepas selesai memberi salam solat.,AIDA,Family situation,Sediakan sebotol minyak Cap Burung tepi sejadah mak ayah.,Selesa urut sendi sebelum takbir solat.,Bau herba aromatik yang tidak mengganggu jemaah.,Order set sejadah mak ayah hari ini.,hybrid_video,poster_ads,LOW,MEDIUM,Mengaitkan produk dengan ritual ibadah harian yang tenang.,Prayer rug placement trigger.,"""Ayah kau kalau dah start berkebun, petang confirm mengadu tangan kebas.""",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_044,MWTCB_25ML,MWTCB_25ML__zip_csv__BM024,Panik Perut Anak Kembung,family_home,FAMILY_HOME,NOSTALGIA_TRUST,repeat_buyer,anak_beli_untuk_parent,BOLD,balik_kampung,family_responsibility,Kebimbangan ibu bapa baru ketika perut bayi kembung keras dan menangis tanpa henti.,"Ibu muda memeluk anak bayi yang menangis, memicit perut bayi dengan bimbang; datuk tersenyum menghulurkan botol Cap Burung.",PASTOR,Nostalgia trigger,New parents paling takut bila anak start nangis perut keras. Jangan panik.,Sapu lembut minyak Cap Burung di perut dan betis anak.,Formula warisan asli sejak 1958 yang terbukti aman.,Standby set kembung bayi sekarang.,hybrid_video,poster_ads,HIGH,HIGH,Menawarkan petua tradisional sebagai solusi ketenangan ibu bapa baru.,New parents guidance trigger.,"""Siksa tengok mak ayah nak naik tangga surau sebab lutut bunyi ketat?""",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_045,MWTCB_25ML,MWTCB_25ML__zip_csv__BM024,Kasih Sayang Generasi,family_home,FAMILY_HOME,NOSTALGIA_TRUST,repeat_buyer,anak_beli_untuk_parent,SOFT,balik_kampung,family_responsibility,Pemberian petua dan ubat dari nenek kepada cucu sebagai simbol warisan keluarga.,Nenek tersenyum menyapu minyak Cap Burung pada tapak kaki cucunya yang berselimut tebal di atas riba.,PASTOR,Nostalgia trigger,Sebab tu nenek selalu bising suruh sapu minyak angin tradisional dekat kaki cucu.,Petua orang lama yang sentiasa betul menjaga perut anak.,Formula warisan asli sejak 1958.,Beli set warisan keluarga hari ini.,hybrid_video,poster_ads,HIGH,HIGH,Menyentuh nilai warisan emosi penjagaan anak tradisional.,Intergenerational trust trigger.,"""Siksa tengok mak ayah nak naik tangga surau sebab lutut bunyi ketat?""",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_046,MWTCB_25ML,MWTCB_25ML__xlsx__BM004,Anti-Hype Gimmick Viral,nostalgia_trust,NOSTALGIA_TRUST,FAMILY_HOME,gift_buyer,anak_beli_untuk_parent,BOLD,balik_kampung,gift_utility,Sikap skeptikal pembeli terhadap produk TikTok Shop baru yang viral tetapi tidak berkesan.,"Lelaki membuang tiub minyak moden berbau kimia ke tong sampah, lalu memegang botol kaca hijau retro Cap Burung dengan puas.",AIDA,balik kampung,Bukan semua benda viral boleh dipercayai.,Minyak angin Cap Burung bertahan sejak 1958 bukan sebab marketing viral seminggu.,Tapi sebab herba asli dia memang melegakan urat sendi.,"Beli warisan asli, bukan sekadar trend.",hybrid_video,poster_ads,HIGH,MEDIUM,Menyerang produk trend kosmetik semata-mata dengan menekankan produk berasaskan herba asli warisan lama.,Anti-marketing hype positioning.,Balik kampung jangan bawa tangan kosong yang tak berguna.,2026-06-19_part2_angle_bank,draft
MWTCB_ANG_047,MWTCB_25ML,MWTCB_25ML__xlsx__BM004,Ujian Masa Sejak 1958,nostalgia_trust,NOSTALGIA_TRUST,FAMILY_HOME,gift_buyer,anak_beli_untuk_parent,MODERATE,balik_kampung,gift_utility,Sejarah panjang produk sebagai bukti kualiti yang tidak boleh ditiru.,Close-up label botol retro menunjukkan teks 'Sejak 1958' dengan latar belakang cermin kayu lama kampung.,AIDA,balik kampung,Produk OEM boleh siap dalam sebulan. Formula warisan asli ni ambil masa 60 tahun diuji.,Bertahan sejak 1958 kerana kualiti herba yang tidak pernah berubah.,Minyak tradisional tulen kegemaran orang lama.,Tap untuk rasa ubat turun-temurun asli.,hybrid_video,poster_ads,HIGH,MEDIUM,Menjual kredibiliti jangka panjang produk tradisional.,Longevity and quality trigger.,Balik kampung jangan bawa tangan kosong yang tak berguna.,2026-06-19_part2_angle_bank,draft
MWTCB_ANG_048,MWTCB_25ML,MWTCB_25ML__xlsx__BM011,Almari Kayu Rumah Tok,nostalgia_trust,NOSTALGIA_TRUST,TIKTOK_CURIOSITY,cold_scroll,nostalgia_buyer,BOLD,rumah,nostalgia_trust,Meningatkan pembeli tentang bau dan memori manis almari kayu rumah nenek di kampung.,"Tangan membuka pintu almari kayu lama yang berukir, bau herba segar keluar, menampakkan botol kaca hijau Cap Burung.",HSO,old-school trust,"Kalau kau pernah buka almari rumah tok dekat kampung, kau tahu bau ni.",Botol kaca hijau retro dengan cap merah yang tak pernah bertukar.,Petua Turun Temurun 1958 pembawa memori.,Bawa memori kampung balik rumah bandar kau.,hybrid_video,poster_ads,MEDIUM,HIGH,Mencetuskan nostalgia mendalam tentang zaman kanak-kanak di kampung.,Deep sensory nostalgia trigger.,Bukan semua benda viral boleh dipercayai.,2026-06-19_part2_angle_bank,draft
MWTCB_ANG_049,MWTCB_25ML,MWTCB_25ML__xlsx__BM011,Vibe Kampung Halaman,nostalgia_trust,NOSTALGIA_TRUST,TIKTOK_CURIOSITY,cold_scroll,nostalgia_buyer,SOFT,rumah,nostalgia_trust,Minyak angin sebagai penghubung emosi dengan suasana tenang kampung halaman.,"Close-up tingkap kayu rumah kampung terbuka luas memaparkan sawah padi, sebotol Cap Burung terletak di ambang tingkap.",HSO,old-school trust,"Rumah flat di KL, tapi bau ubat sapu tetap nak bau rumah kampung.",Mengubat rindu suasana tenang di kampung dengan sapuan herba asli.,Formula tradisional asli sejak 1958.,Tap untuk bawa pulang vibe kampung.,hybrid_video,poster_ads,MEDIUM,HIGH,Menawarkan ketenangan kampung di tengah-tengah kesibukan kota moden.,Sensory connection to countryside.,Bukan semua benda viral boleh dipercayai.,2026-06-19_part2_angle_bank,draft
MWTCB_ANG_050,MWTCB_25ML,MWTCB_25ML__xlsx__BM018,Bukan Produk OEM Semalam Suntuk,nostalgia_trust,NOSTALGIA_TRUST,FAMILY_HOME,cold_scroll,nostalgia_buyer,BOLD,rumah,nostalgia_trust,Menentang lambakan produk minyak angin rebrand OEM tanpa formulasi khusus.,"Seorang lelaki memegang botol kaca hijau tebal Cap Burung, menatap label burung lama dengan penuh rasa percaya.",Hook/Memory/Trust/CTA,rumah tok,Jangan gadaikan urat badan kau dekat produk OEM yang baru rebrand semalam.,Pilih minyak angin warisan yang formulanya kekal tulen sejak 1958.,Petua Asli warisan orang lama Malaysia.,Klik beli herba asli bukan rebrand.,hybrid_video,poster_ads,MEDIUM,MEDIUM,Membina keyakinan pelanggan dengan membezakan produk dari kilang OEM generik.,Quality formulation vs white-label trigger.,"Kalau kau pernah buka almari rumah tok, kau tahu vibe ni.",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_051,MWTCB_25ML,MWTCB_25ML__xlsx__BM018,Tiga Generasi Memakai,nostalgia_trust,NOSTALGIA_TRUST,FAMILY_HOME,cold_scroll,nostalgia_buyer,SOFT,rumah,nostalgia_trust,"Produk yang diturunkan kegunaannya dari datuk, kepada ayah, seterusnya kepada cucu.","Kamera memaparkan tangan datuk tua menyerahkan botol Cap Burung kepada tangan ayah muda, yang kemudian menyapu betis anaknya.",Hook/Memory/Trust/CTA,rumah tok,"Dari zaman arwah tok, turun ke mak ayah, sampai ke kita sekarang.",Sebab minyak herba Cap Burung ni memang tak pernah mengecewakan urat.,Formula warisan sejak 1958 kekal asli.,Kekalkan warisan keluarga anda sekarang.,hybrid_video,poster_ads,MEDIUM,MEDIUM,Membina kebolehpercayaan merentasi generasi.,Multi-generation inheritance trigger.,"Kalau kau pernah buka almari rumah tok, kau tahu vibe ni.",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_052,MWTCB_25ML,MWTCB_25ML__xlsx__BM030,Jangan Buang Petua Orang Lama,nostalgia_trust,NOSTALGIA_TRUST,VISUAL_RECOGNITION,cold_scroll,universal_household,BOLD,rumah,nostalgia_trust,Menggesa anak muda menghormati dan mengekalkan ubat tradisional berbanding pil moden.,"Anak muda menolak paket pil penahan sakit plastik, sebaliknya mengambil botol minyak Cap Burung untuk menyapu tengkuk.",AIDA,since 1958,Petua orang lama jangan cepat sangat kau buang.,"Mereka simpan barang herba asli ni sebab memang berkesan, bukan gimmick marketing.",Formula hijau asli Cap Burung sejak 1958.,Dapatkan herba warisan tulen hari ini.,hybrid_video,poster_ads,MEDIUM,HIGH,Menyasar pembeli yang menghargai keberkesanan remedi semula jadi tradisional.,Natural remedies vs chemical pills.,Produk random boleh viral seminggu. Yang bertahan sejak 1958 lain cerita.,2026-06-19_part2_angle_bank,draft
MWTCB_ANG_053,MWTCB_25ML,MWTCB_25ML__xlsx__BM030,Aroma Asli Minyak Hijau,nostalgia_trust,NOSTALGIA_TRUST,VISUAL_RECOGNITION,cold_scroll,universal_household,MODERATE,rumah,nostalgia_trust,Aroma segar daun herba tradisional yang menenangkan fikiran tersumbat.,"Ibu menghidu penutup botol Cap Burung lama, tersenyum lega merasai aroma segar herba semula jadi.",AIDA,since 1958,Dah bosan dengan bau ubat moden yang menusuk hidung macam chemical hospital?,Bau herba segar minyak Cap Burung ni bawa ketenangan ubat lama kampung.,Minyak hijau herba pekat warisan 1958.,Tap untuk aroma tradisi menenangkan.,hybrid_video,poster_ads,MEDIUM,HIGH,Menonjolkan aroma aromaterapi tradisional yang melegakan pening kepala.,Aromatherapy relaxation trigger.,Produk random boleh viral seminggu. Yang bertahan sejak 1958 lain cerita.,2026-06-19_part2_angle_bank,draft
MWTCB_ANG_054,MWTCB_25ML,MWTCB_25ML__xlsx__BM031,Signal Sejak 1958,nostalgia_trust,NOSTALGIA_TRUST,FAMILY_HOME,warm_interest,nostalgia_buyer,BOLD,rumah,nostalgia_trust,Menggunakan label 'Sejak 1958' sebagai simbol muktamad kualiti dan keselamatan produk.,"Tangan memegang botol kaca tebal, jari menyentuh perkataan 'Sejak 1958' yang dicetak timbul pada label warisan.",PASTOR,petua lama,Dalam TikTok orang tak baca detail. Mereka cari satu signal: Sejak 1958.,Jangka hayat 60 tahun adalah bukti ubat herba ini selamat dan berkesan.,Minyak Warisan Tok Cap Burung tulen.,Tap beg kuning untuk ubat terbukti masa.,hybrid_video,poster_ads,MEDIUM,HIGH,Menawarkan jaminan kualiti pantas melalui jangka hayat produk.,Instant trust certification.,Petua orang lama jangan cepat sangat kau buang.,2026-06-19_part2_angle_bank,draft
MWTCB_ANG_055,MWTCB_25ML,MWTCB_25ML__xlsx__BM031,Vibe Almari Kayu Dapur Tok,nostalgia_trust,NOSTALGIA_TRUST,FAMILY_HOME,warm_interest,nostalgia_buyer,SOFT,rumah,nostalgia_trust,Mengembalikan kenangan rumah nenek ketika melawat di cuti sekolah.,Gadis bandar memegang botol Cap Burung sambil tersenyum teringat saat nenek menyapu minyak angin pada kakinya selepas main bendang.,PASTOR,petua lama,Tengok botol kaca hijau ni terus teringat cuti sekolah dekat kampung dulu.,Bau dan warna minyak hijau yang kekal sama tidak pernah berubah.,Petua Turun Temurun warisan lama sejak 1958.,Beli satu botol rindu kampung sekarang.,hybrid_video,poster_ads,MEDIUM,HIGH,Menhubungkan emosi nostalgia zaman kanak-kanak dengan pembelian.,Childhood holidays kampung memory.,Petua orang lama jangan cepat sangat kau buang.,2026-06-19_part2_angle_bank,draft
MWTCB_ANG_056,MWTCB_25ML,MWTCB_25ML__xlsx__BM056,Ulu Hati Sebu Berangin Tok,nostalgia_trust,NOSTALGIA_TRUST,VISUAL_RECOGNITION,cold_scroll,universal_household,BOLD,rumah,nostalgia_trust,Masalah sebu perut berangin dan ketidakselesaan ulu hati pada warga emas.,"Datuk tua duduk bersandar pada tiang rumah kayu, memegang perutnya yang kembung tersenyum bila cucu membawakan minyak Cap Burung.",AIDA,trust cepat,"Orang tua kalau perut sebu masuk angin, muka confirm berkerut menahan siksa.",Urut lembut herba pekat minyak Cap Burung pada perut untuk buang angin tersumbat.,Formula asli tradisional yang melegakan ulu hati warga emas.,Beli set buang angin untuk tok.,hybrid_video,poster_ads,MEDIUM,HIGH,Menyelesaikan masalah angin dalam badan yang sering mengganggu tidur warga emas.,Elderly digestive discomfort trigger.,"Dalam TikTok, orang tak baca panjang. Mereka cari tanda percaya.",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_057,MWTCB_25ML,MWTCB_25ML__zip_csv__BM005,Urat Tegang Angkat Kotak,persona_specific,NOSTALGIA_TRUST,FAMILY_HOME,repeat_buyer,anak_beli_untuk_parent,BOLD,rumah,nostalgia_trust,Sakit otot bahu dan pinggang selepas seharian melakukan kerja mengangkat barang berat.,"Pekerja stor korporat mengeliat memegang bahunya yang keras lenguh, menyapu minyak urut hijau pekat Cap Burung pada bahu.",PASTOR,Nostalgia trigger,"Seharian angkat kotak berat, malam ni bahu rasa kejang macam kena simen.",Urut sebelum tidur dengan herba tegang urat minyak Cap Burung.,Formula tradisional meresap dalam untuk lembutkan urat keras.,Dapatkan minyak urat pekat sekarang.,hybrid_video,poster_ads,HIGH,HIGH,Targeting blue-collar workers or people moving houses with real muscle strain.,Occupational physical pain trigger.,"""Orang tua kalau dah start sebu perut, dia tak cari ubat moden. Dia cari yang ni.""",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_058,MWTCB_25ML,MWTCB_25ML__zip_csv__BM015,Sengal Peha Lepas Leg Day,persona_specific,NOSTALGIA_TRUST,FAMILY_HOME,repeat_buyer,anak_beli_untuk_parent,BOLD,malam,family_responsibility,DOMS (sakit otot) yang teruk selepas melakukan senaman berat di gimnasium.,Lelaki memakai singlet sukan memicit pehanya yang kejang kesakitan selepas turun dari mesin squat gim.,PASTOR,Nostalgia trigger,Otot ketat gila lepas layan leg day? Esok confirm jalan kengkang macam ketam.,Urut segera dengan herba pekat minyak Cap Burung untuk redakan bengkak muscle.,Formula meresap pantas melegakan ketegangan serat otot.,Sediakan sebotol dalam beg gym anda.,hybrid_video,poster_ads,HIGH,HIGH,Niche expansion to fitness/gym-goers who suffer from muscle soreness.,Gym muscle recovery trigger.,"""Orang tua kalau malam selalu terjaga sebab kaki sejuk? Sapu minyak herba ni.""",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_059,MWTCB_25ML,MWTCB_25ML__zip_csv__BM015,Kejang Peha Pemain Bola,persona_specific,NOSTALGIA_TRUST,FAMILY_HOME,repeat_buyer,anak_beli_untuk_parent,MODERATE,malam,family_responsibility,Kejang otot peha atau betis selepas perlawanan bola sepak/futsal mingguan.,"Lelaki memegang betisnya yang kejang di padang futsal malam, rakannya menyapukan minyak angin Cap Burung pada betis.",PASTOR,Nostalgia trigger,"Layan futsal sejam, malam urat betis start tarik simpul biawak.",Sapu siap-siap minyak cap burung untuk hangatkan sendi otot.,Herba tradisional asli penyembuh sengal sukan.,Tap untuk set sukan standby.,hybrid_video,poster_ads,HIGH,HIGH,Addressing sports recovery needs.,Weekend futsal fatigue trigger.,"""Orang tua kalau malam selalu terjaga sebab kaki sejuk? Sapu minyak herba ni.""",2026-06-19_part2_angle_bank,draft
