motivation_classification_row_id,product_id,source_motivation_id,source_motivation_id_raw,motivation_batch_key,buyer_motivation_row_id,source_file,source_sheet,source_batch,import_version,source_sequence,primary_bucket,secondary_bucket,buyer_stage,persona_fit,boldness_level,usage_context,sales_mechanism,best_content_format,best_platform_surface,bundle_potential,repeat_purchase_potential,strongest_hook_from_this_motivation,expansion_priority,notes_for_angle_generation
MWTCB_25ML__xlsx__BM050,MWTCB_25ML,BM050,BM050,2026-06-19_xlsx__BM050,MWTCB_25ML__xlsx__BM050,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,50,TRAVEL_CAR_BAG,STANDBY_BEFORE_NEED,cold_scroll,driver_travel,BOLD,kereta,fear_of_not_having,POV_scene,TikTok_Shop_video,HIGH,MEDIUM,Jalan jauh seronok… sampai kepala mula berat dan perut tak senang.,HIGH,"Strong roadtrip hook. Expand with balik kampung, highway, passenger POV."
MWTCB_25ML__xlsx__BM051,MWTCB_25ML,BM051,BM051,2026-06-19_xlsx__BM051,MWTCB_25ML__xlsx__BM051,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,51,TRAVEL_CAR_BAG,STANDBY_BEFORE_NEED,cold_scroll,driver_travel,BOLD,travel,before_need_preparation,carousel,TikTok_Shop_video,HIGH,MEDIUM,"Charger, skincare, baju semua ingat. Minyak standby kau lupa.",HIGH,Travel checklist angle. Good for carousel and packing video.
MWTCB_25ML__xlsx__BM052,MWTCB_25ML,BM052,BM052,2026-06-19_xlsx__BM052,MWTCB_25ML__xlsx__BM052,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,52,VISUAL_RECOGNITION,PRACTICAL_STORAGE,warm_interest,family_home_buyer,MODERATE,laci,visual_recognition,product_only_video,product_page_asset,LOW,MEDIUM,"Bila perlu, kau tak nak godek laci macam cari harta karun.",MEDIUM,"Feature-to-function angle. Use cap merah as “senang cari”, not decoration."
MWTCB_25ML__xlsx__BM053,MWTCB_25ML,BM053,BM053,2026-06-19_xlsx__BM053,MWTCB_25ML__xlsx__BM053,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,53,PRACTICAL_STORAGE,MULTI_BUY,warm_interest,universal_household,MODERATE,rumah,practical_convenience,poster_ad,Shopee_Lazada_visual,HIGH,MEDIUM,Rumah kecil bukan alasan tak ada barang standby.,MEDIUM,Good for urban/apartment buyers. Bundle potential via small size.
MWTCB_25ML__xlsx__BM054,MWTCB_25ML,BM054,BM054,2026-06-19_xlsx__BM054,MWTCB_25ML__xlsx__BM054,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,54,FAMILY_HOME,STANDBY_BEFORE_NEED,warm_interest,family_home_buyer,BOLD,rak,household_readiness,carousel,product_page_asset,MEDIUM,MEDIUM,Bina satu corner barang perlu dekat rumah. Minyak macam ni wajib masuk.,MEDIUM,Preparedness shelf angle. Good product-page/carousel education.
MWTCB_25ML__xlsx__BM055,MWTCB_25ML,BM055,BM055,2026-06-19_xlsx__BM055,MWTCB_25ML__xlsx__BM055,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,55,NOSTALGIA_TRUST,FAMILY_HOME,cold_scroll,nostalgia_buyer,MODERATE,rumah,nostalgia_trust,hybrid_video,TikTok_Shop_video,MEDIUM,MEDIUM,Rumah bandar pun patut ada sedikit bau rumah kampung.,MEDIUM,Emotional cultural angle. Good but less direct than BM018/BM030.
MWTCB_25ML__xlsx__BM056,MWTCB_25ML,BM056,BM056,2026-06-19_xlsx__BM056,MWTCB_25ML__xlsx__BM056,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,56,NOSTALGIA_TRUST,VISUAL_RECOGNITION,cold_scroll,universal_household,BOLD,rumah,nostalgia_trust,poster_ad,product_page_asset,MEDIUM,HIGH,"‘Sejak 1958’ tu bukan hiasan, itu signal.",HIGH,"Hard proof angle. Expand for trust overlays, poster headlines, product page."
MWTCB_25ML__xlsx__BM057,MWTCB_25ML,BM057,BM057,2026-06-19_xlsx__BM057,MWTCB_25ML__xlsx__BM057,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,57,TIKTOK_CURIOSITY,VISUAL_RECOGNITION,cold_scroll,impulse_tiktok_buyer,BOLD,rumah,visual_recognition,product_only_video,TikTok_Shop_video,MEDIUM,LOW,Cap merah minyak hijau dah cukup buat mata berhenti.,HIGH,"Product-only winner. Expand into closeup, spin, hand grab, laci reveal."
MWTCB_25ML__xlsx__BM058,MWTCB_25ML,BM058,BM058,2026-06-19_xlsx__BM058,MWTCB_25ML__xlsx__BM058,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,58,TIKTOK_CURIOSITY,PRACTICAL_STORAGE,ready_to_buy,impulse_tiktok_buyer,BOLD,rumah,impulse_low_friction,product_only_video,TikTok_Shop_video,MEDIUM,MEDIUM,"Tak plan beli, tapi rasa wajib ada.",HIGH,"TikTok Shop conversion angle. Push check price, tap beg kuning, add cart."
MWTCB_25ML__xlsx__BM059,MWTCB_25ML,BM059,BM059,2026-06-19_xlsx__BM059,MWTCB_25ML__xlsx__BM059,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,59,SEASONAL_CONTEXT,FAMILY_HOME,warm_interest,family_home_buyer,MODERATE,family_gathering,family_responsibility,poster_ad,WhatsApp_blast,MEDIUM,MEDIUM,"Bila rumah ramai orang, benda kecil pun cepat jadi kecoh.",MEDIUM,"Seasonal campaign: raya, kenduri, open house, family gathering."
MWTCB_25ML__xlsx__BM060,MWTCB_25ML,BM060,BM060,2026-06-19_xlsx__BM060,MWTCB_25ML__xlsx__BM060,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,60,NOSTALGIA_TRUST,FAMILY_HOME,cold_scroll,nostalgia_buyer,MODERATE,rumah,nostalgia_trust,hybrid_video,TikTok_Shop_video,MEDIUM,MEDIUM,Ada produk yang terasa macam ‘kita punya’ sebelum kau baca label pun.,MEDIUM,"Identity/local pride angle. Good brand layer, not primary direct-response driver."
