buyer_motivation_row_id,product_id,source_motivation_id,source_motivation_id_raw,motivation_batch_key,source_file,source_sheet,source_batch,import_version,source_sequence,buyer_situation,buyer_problem,buyer_desire,what_buyer_is_really_thinking,emotional_trigger,practical_trigger,buying_trigger,product_role,proof_from_product,best_formula,hook_direction,sample_hook,sample_subhook,sample_cta,why_it_can_sell
MWTCB_25ML__zip_csv__BM036,MWTCB_25ML,BM036,BM_036,2026-06-19_zip_csv__BM036,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,36,"Pembeli gemar barang ""aesthetic retro""","Nampak botol vintage lawa, nak letak atas meja",Suka barang yang nampak ada sejarah/trust,"""Botol dia vintage gila, sebiji macam herba lama. Suka tengok.""",Minat retro vibe,Visual style,Scroll TikTok hiasan,Minyak hiasan berfungsi,"Botol kaca hijau, cap merah",Hook/Visual Recognition,Visual recognition,"""Bukan minyak angin cap komersial boring. Tengok botol kaca hijau retro ni.""","""Formula asli sejak 1958. Letak atas meja pun nampak vibe warisan betul.""",Dapatkan Botol Retro,Menyasarkan golongan muda pencinta barangan vintage.
MWTCB_25ML__zip_csv__BM037,MWTCB_25ML,BM037,BM_037,2026-06-19_zip_csv__BM037,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,37,Individu alami tumit kaki merekah/sakit,Tumit rasa menyucuk bila pijak lantai pagi,"Tumit lembut, bisa pijak berkurangan","""Sakitnya tumit bila memula bangun tidur pagi.""",Siksa bangun pagi,Heel pain,Pijak lantai pagi,Pelembut & pelega urat tumit,Formula urut serap,PASTOR,Pain callout,"""Pagi-pagi bangun tidur, pijak jer lantai terus tumit rasa menyucuk bisa?""","""Urut minyak cap burung ni kat tumit malam sebelum tidur. Esok bangun rasa ringan.""",Beli Pelega Tumit,Isu yang kerap dialami wanita pertengahan umur.
MWTCB_25ML__zip_csv__BM038,MWTCB_25ML,BM038,BM_038,2026-06-19_zip_csv__BM038,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,38,Anggota penyelamat / Unit beruniform,"Badan lasak, lebam kecil, otot senak",Pulih cepat untuk sambung tugas operasi,"""Badan dah lebam bertugas semalam, lenguh tak hilang.""",Penat tugas,Hard physical labor,Lepas duty,Minyak herba rugged,Formula tegar 1958,PAS,Use moment,"""Abang uniform bertugas banting tulang, badan malam-malam rasa lenguh menyucuk?""","""Minyak hijau cap burung ni ubat urut urat tegar. Sekali gosok, senak otot surut.""",Standby Dalam Poket,"Target badan beruniform (polis, tentera, bomba)."
MWTCB_25ML__zip_csv__BM039,MWTCB_25ML,BM039,BM_039,2026-06-19_zip_csv__BM039,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,39,Golongan usahawan / Stress memikirkan jualan,"Tengking kepala kencang, urat mata tegang","Kepala ringan, boleh fikir strategi business","""Sakit otak fikir sales tak naik, urat kepala tegang.""",Mental stress,Mental fatigue,Hadap akaun / sales,Penenang urat kepala,Bau herba aroma tradisi,Hook/Pain,Pain callout,"""Fikir business sampai urat kepala rasa nak meletup? Stress sangat ni.""","""Sapu minyak cap burung kat belakang leher. Biar rasa herba asli relaxkan kepala.""",Beli Set Tenang,Menyentuh golongan usahawan kecil TikTok.
MWTCB_25ML__zip_csv__BM040,MWTCB_25ML,BM040,BM_040,2026-06-19_zip_csv__BM040,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,40,Ibu lepas bersalin (Postpartum) sejuk urat,"Badan rasa seram sejuk, angin masuk urat","Badan hangat, urat peranakan/badan terjaga","""Badan rasa masuk angin lepas bersalin ni, tak selesa.""",Sensitif / Risau,Postpartum care,Tempoh pantang,Minyak herba berpantang,*Postpartum Gate Approved*,PPPP,Mak-mak hook,"""Ibu dalam pantang paling risau kalau urat sejuk kemasukan angin. Badan boleh bisa.""","""Minyak hijau formula asli sejak 1958. Sesuai sapu kat kaki sebelum pakai stoking.""",Dapatkan Set Pantang,Keperluan tegar ibu dalam pantang tradisional.
MWTCB_25ML__zip_csv__BM041,MWTCB_25ML,BM041,BM_041,2026-06-19_zip_csv__BM041,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,41,Rumah kampung acap kali banjir/lembap,"Kaki gatal air, sejuk mencucuk tulang","Kaki kering, hangat, bisa tulang hilang","""Rumah lembap cuaca hujan ni, urat tua mula bisa.""",Siksa cuaca,Damp environment,Musim hujan,Pemanas sendi lembap,Formula herba tahan lama,HSO,Everyday household,"""Bila musim hujan, rumah rasa lembap dan urat kaki mula rasa ngilu mencucuk tulang?""","""Lumurkan minyak herba cap burung ni. Hangat dia meresap dalam, buang rasa bisa.""",Standby Musim Hujan,Sangat relevan untuk kawasan pantai timur / musim tengkujuh.
MWTCB_25ML__zip_csv__BM042,MWTCB_25ML,BM042,BM_042,2026-06-19_zip_csv__BM042,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,42,Kanak-kanak terjatuh benjol kecil,Kepala benjol/lebam main lari-lari,"Benjol cepat surut, anak berhenti nangis","""Kecoh budak ni main sampai benjol dahi.""",Risau anak sakit,Child injury,Anak lasak bermain,Minyak surut bengkak,Formula asli aman,Hook/Family,Family situation,"""Anak jenis buas main sampai dahi selalu lebam atau benjol? Mak jangan kecoh.""","""Sapu minyak cap burung ni laju-laju kat tempat bengkak. Kejap jer surut.""",Standby Satu Kat Rumah,Barangan wajib ada untuk ibu bapa anak buas.
MWTCB_25ML__zip_csv__BM043,MWTCB_25ML,BM043,BM_043,2026-06-19_zip_csv__BM043,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,43,Penunggang basikal tegar (Cyclist),"Peha kejang tengah jalan, betis keras","Otot longgar semula, boleh kayuh balik","""Aduh cramp pulak peha tengah bukit ni.""",Panik tengah jalan,Sports cramp,Tengah kayuh,Minyak poket jersey,Botol kecil selit jersey,FAB,Small bottle practicality,"""Kayuh basikal puluhan kilometer tapi tak bawa minyak angin sebab poket penuh?""","""Botol kecil 25ml ni muat celah poket jersey basikal. Cramp datang, terus gosok.""",Beli Saiz Poket,Target pasaran hobi sukan luar (cycling).
MWTCB_25ML__zip_csv__BM044,MWTCB_25ML,BM044,BM_044,2026-06-19_zip_csv__BM044,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,44,Pekerja salon/barber berdiri seharian,Pinggang dan tumit kaki rasa terbakar,Selesa berdiri untuk customer seterusnya,"""Berdiri potong rambut 10 orang hari ni, kaki rasa nak patah.""",Penat kerja,Standing occupation,Selesai shift salon,Pelancar darah kaki,Minyak urut hijau pekat,PAS,Use moment,"""Kerja berdiri potong rambut atau cuci rambut customer? Malam confirm tumit bisa.""","""Urut dengan minyak hijau cap burung ni. Longgarkan urat tegang, esok ready kerja balik.""",Klik Sini Stok Barber,Target industri perkhidmatan (service industry).
MWTCB_25ML__zip_csv__BM045,MWTCB_25ML,BM045,BM_045,2026-06-19_zip_csv__BM045,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,45,Penggemar hiking / panjat gunung,"Kaki lenguh, sendi lutut longgar turun bukit","Lutut kuat, otot tak koyak","""Turun bukit ni lutut rasa longgar gila, sakit.""",Takut lutut cedera,Hiking strain,Turun gunung,Minyak bagpack wajib,Saiz ringan tebal,QUEST,Travel/kereta/beg,"""Panjat gunung beg nak kena ringan, tapi minyak urut wajib bawa. Guna yang ni.""","""Botol kaca hijau tebal 25ml. Tak makan ruang beg, lutut start longgar terus gosok.""",Beli Set Hiking,Target pasaran outdoor/hiking.
MWTCB_25ML__zip_csv__BM046,MWTCB_25ML,BM046,BM_046,2026-06-19_zip_csv__BM046,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,46,Rasa kebas tangan bawa motor jauh,"Jari-jari rasa semut-semut, tak boleh genggam stereng","Tangan normal, darah lancar semula","""Kebas gila tangan bawa motor pergi kerja tiap hari.""",Rimas / Kebas,Long ride numbness,Perjalanan kerja,Minyak gosok jari,Formula asli sejak 1958,AIDA,Use moment,"""Tiap hari naik motor ulang-alik kerja sampai jari-jari rasa kebas semut-semut?""","""Balik rumah terus urut jari dengan minyak cap burung. Lancarkan balik darah urat.""",Dapatkan Kelegaan Tangan,Isu harian penunggang motosikal tegar Malaysia.
MWTCB_25ML__zip_csv__BM047,MWTCB_25ML,BM047,BM_047,2026-06-19_zip_csv__BM047,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,47,Orang tua mengeluh dada sebu berangin,"Rasa ketat celah ulu hati, susah nak nafas","Angin pecah, ulu hati rasa lapang","""Ulu hati rasa macam kena sekat, angin penuh.""",Siksa berangin,Gastric gas,Lepas bangun pagi,Minyak pecah angin dada,Petua turun temurun,PASTOR,Nostalgia trigger,"""Orang tua kalau dah start ubat ulu hati sebu berangin, muka confirm berkerut sakit.""","""Sapu membulat minyak herba cap burung ni. Biar angin dalam dada pecah keluar.""",Beli Pelega Angin,"Sering disalahertikan sebagai sakit dada biasa, herba membantu melegakan."
MWTCB_25ML__zip_csv__BM048,MWTCB_25ML,BM048,BM_048,2026-06-19_zip_csv__BM048,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,48,Menghadapi cuaca panas / pening kepala,Kepala rasa berat bawah terik matahari,"Kepala rasa sejuk berangin, mata cerah","""Panas terik sangat ni, kepala dah mula pening lalat.""",Pening terik,Heat exhaustion,Luar rumah panas,Penyejuk kepala herba,Bau segar asli,PPPP,Use moment,"""Kerja bawah tengah panas sampai kepala rasa berpusing pening lalat?""","""Sapu sikit minyak cap merah ni kat tengkuk. Rasa herba dia legakan pening terus.""",Standby Satu Botol,Relevan dengan cuaca khatulistiwa Malaysia.
MWTCB_25ML__zip_csv__BM049,MWTCB_25ML,BM049,BM_049,2026-06-19_zip_csv__BM049,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,49,Content creator hadap phone 12 jam,"Urat mata tegang, tengkuk kaku layan editing","Tengkuk lembut, kepala tak pening","""Hadap skrin edit video sampai tengkuk rasa macam batu.""",Penat digital,Digital fatigue,Tengah edit video,Minyak meja kerja,Formula urut serap,PAS,Use moment,"""Content creator yang hadap skrin laptop lama sampai tengkuk kaku macam batu?""","""Jangan biar kepala migrain. Ambil minyak cap burung ni, gosok laju-laju kat urat leher.""",Simpan Atas Meja,Target pasaran pekerja digital zaman sekarang.
MWTCB_25ML__zip_csv__BM050,MWTCB_25ML,BM050,BM_050,2026-06-19_zip_csv__BM050,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,50,Rumah laci dapur berbau hapak / serangga,Nak minyak angin bau herba kuat untuk halau angin,"Bau herba bersih, rumah rasa tradisi lengkap","""Laci ni bau hapak, elok letak minyak angin herba bau kuat.""",Rimas bau hapak,Household scent,Bersih laci,Aroma warisan asli,Bau herba semula jadi,FAB,Home completeness,"""Rumah melayu tak lengkap kalau laci ruang tamu tak bau minyak angin herba asli.""","""Minyak cap burung beri vibe rumah tok yang selamat, tenang, dan bersedia.""",Lengkapkan Rumah,"Menjual sentimen ""bau rumah melayu sejati""."
MWTCB_25ML__zip_csv__BM051,MWTCB_25ML,BM051,BM_051,2026-06-19_zip_csv__BM051,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,51,Pembeli cari herba tanpa bahan kimia,Takut ubat sapu moden campur steroid/kimia,"Herba tulen, selamat digunakan jangka panjang","""Aku nak minyak urut yang herba betul, bukan mineral oil semata.""",Takut bahan kimia,Ingredient purity,Cari ubat herba,Minyak herba tulen,Sejak 1958 formula asli,Hook/Memory,Old-school trust,"""Dah penat guna minyak angin moden yang cuma ada bau chemical tapi herba tarak?""","""Guna formula asli 1958 minyak cap burung. Herba akar kayu asli meresap terus.""",Dapatkan Formula Asli,Menyasarkan golongan pejuang herba organik.
MWTCB_25ML__zip_csv__BM052,MWTCB_25ML,BM052,BM_052,2026-06-19_zip_csv__BM052,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,52,Anggota keluarga suka urut badan mingguan,Tiada minyak urut yang pekat dan lancar,"Sesi urut puas, urat longgar habis","""Minyak urut lain cair sangat, tak syok buat urut urat.""",Nak puas urut,Massage quality,Hujung minggu urut,Minyak urut pro-tradisi,Minyak hijau pekat asli,BAB,Use moment,"""Hari minggu waktu terbaik nak urut satu badan. Tapi jangan guna minyak cair boring.""","""Guna minyak hijau cap burung ni. Pekat, melancarkan urut, herba resap dalam.""",Borong Botol Urut,Target aktiviti hujung minggu keluarga Melayu.
MWTCB_25ML__zip_csv__BM053,MWTCB_25ML,BM053,BM_053,2026-06-19_zip_csv__BM053,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,53,Tekanan darah rasa berat kat tengkuk,"Leher rasa tebal, kepala berat (bukan medikal)","Tengkuk ringan, rasa ketat berkurangan laju","""Tengkuk rasa berat sangat ni, stress la kut.""",Risau badan berat,Tension line,Balik kerja stress,Pelega ketat tengkuk,Formula urut asli,PAS,Pain callout,"""Bila stress kerja menimbun, automatik urat tengkuk rasa tebal dan berat sangat?""","""Sapu minyak cap merah ni. Urut ke bawah dari telinga ke bahu, rasa ringan terus.""",Klik Pelega Tengkuk,Keadaan biasa akibat stress pejabat harian.
MWTCB_25ML__zip_csv__BM054,MWTCB_25ML,BM054,BM_054,2026-06-19_zip_csv__BM054,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,54,Pembeli nak letak dalam beg surau / masjid,"Jemaah lain lenguh kaki, boleh tolong sapu","Pahala berkongsi, ubat dihormati warga emas","""Bawa pergi surau, senang kalau jemaah lain minta minyak angin.""",Sukar / Suka membantu,Community utility,Pergi solat,Barang poket jubah,Botol kecil muat poket,Hook/Family,Family situation,"""Poket jubah surau kalau kosong tak best. Selit sebotol minyak cap burung ni.""","""Sambil lepak lepas solat, boleh tolong urut lutut kawan jemaah yang lenguh.""",Beli Set Surau,Target pasaran jemaah masjid/surau yang sangat kuat komuniti.
MWTCB_25ML__zip_csv__BM055,MWTCB_25ML,BM055,BM_055,2026-06-19_zip_csv__BM055,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,55,Rasa kaki sejuk lepas mandi hujan,Kaki rasa bisa-bisa sejuk air hujan,"Badan panas balik, tak selsema","""Aduh sejuk urat kaki lepas redah banjir/hujan tadi.""",Sejuk ngilu,Cold rain exposure,Lepas mandi,Pemanas urat laju,Formula hijau asli,HSO,Before need,"""Balik rumah lepas redah hujan terus urat kaki rasa ngilu sejuk mencucuk?""","""Keringkan kaki, terus lumur minyak cap burung ni. Matikan sejuk urat dari awal.""",Standby Musim Hujan,Tindakan pantas sebelum jatuh sakit.
MWTCB_25ML__zip_csv__BM056,MWTCB_25ML,BM056,BM_056,2026-06-19_zip_csv__BM056,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,56,Mengalami perut memulas malam (Cirit-birit),"Perut memulas tajam, gelisah atas jamban","Senak perut reda, angin keluar lawas","""Sakitnya perut memulas ni, nak duduk pun tak kena.""",Siksa memulas,Gastric emergency,Tengah malam jamban,Minyak tenangkan perut,Formula turun temurun asli,QUEST,Everyday household,"""Tengah malam perut memulas tajam sebab salah makan petang tadi? Siksa ooo.""","""Selesai urusan, terus sapu minyak cap burung sekeliling pusat. Redakan memulas.""",Standby Botol Perut,Masalah harian salah makan yang sangat realistik.
MWTCB_25ML__zip_csv__BM057,MWTCB_25ML,BM057,BM_057,2026-06-19_zip_csv__BM057,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,57,Gamer duduk main game 6 jam non-stop,Pergelangan tangan (wrist) lenguh guna mouse,"Wrist loose semula, tak sakit urat","""Wrist aku lenguh gila layan game dari petang tadi.""",Lenguh urat tangan,Gaming strain,Tengah stream / main,Minyak gaming setup,Saiz kecil atas meja,PPPP,Use moment,"""Kaki game yang main sampai subuh confirm wrist tangan rasa kejang guna mouse?""","""Jangan biar urat tangan rosak muda. Standby botol kecil ni tepi keyboard kau.""",Klik Beli Kaki Game,Pasaran moden baharu (gaming/streaming community).
MWTCB_25ML__zip_csv__BM058,MWTCB_25ML,BM058,BM_058,2026-06-19_zip_csv__BM058,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,58,Pembeli trauma minyak angin pecah dalam beg,"Beg rosak bau minyak angin kuat, barang lain kotor",Botol tebal yang selamat dimasukkan beg,"""Minyak lama aku pecah habis rosak beg sandang aku.""",Trauma beg kotor,Bottle durability,Tukar beg baru,Minyak botol kaca tebal,Botol kaca hijau tebal,FAB,Small bottle practicality,"""Pernah terkena minyak angin pecah dalam beg habis jahanam resit dengan phone?""","""Minyak cap burung guna botol kaca hijau tebal 25ml. Lasak, selamat selit mana-mana.""",Dapatkan Botol Lasak,Menyelesaikan ketakutan botol plastik/kaca nipis pecah.
MWTCB_25ML__zip_csv__BM059,MWTCB_25ML,BM059,BM_059,2026-06-19_zip_csv__BM059,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,59,Tekan lif pejabat rasa lenguh lengan,Otot lengan kejang bawa barang ofis,"Lengan ringan, boleh taip report semula","""Lengan tegang gila bawa fail naik turun tingkat.""",Rimas urat,Labor strain,Waktu rehat,Minyak selit poket,Formula herba asli,AIDA,Use moment,"""Lengan rasa lenguh kejang sbb angkat barang ofis naik turun tangga?""","""Sapu minyak hijau cap burung. Herba asli dia cepat longgarkan urat kaku.""",Beli Saiz Poket,Masalah fizikal harian pekerja am/kerani.
MWTCB_25ML__zip_csv__BM060,MWTCB_25ML,BM060,BM_060,2026-06-19_zip_csv__BM060,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,60,Pembeli mahukan barangan jaminan 'Sejak 1958',Bosan ditipu jenama oem semalam baru nak up,Rasa selamat guna produk yang bertahan puluhan tahun,"""Produk lama ni dah survive lama confirm ada kualiti betul.""",Cari kualiti kanonikal,Brand authority,Memilih produk urut,Produk legasi tulen,Label burung sejak 1958,Hook/Memory,Old-school trust,"""Jangan gadaikan urat badan kau dekat produk OEM semalam suntuk baru nak up.""","""Pakai minyak cap burung. Formula asli bertahan sejak 1958 sebab kualiti herba dia.""",Dapatkan Jaminan 1958,Menjual autoriti sejarah produk berbanding produk baru.
